,id,prompt,answer_before,answer
0,0,"A 65-year-old man is scheduled for elective cholecystectomy. He has hypertension and diabetes. His DASI score is 36, and he has no cardiac symptoms. Based on current guidelines, what is the appropriate next step in his preoperative cardiac evaluation?",Proceed with subjective assessment of functional capacity and consider stress testing based on clinical judgment,"Proceed directly to surgery without further cardiac testing, as DASI score >34 indicates adequate functional capacity"
1,1,A 58-year-old woman with type 2 diabetes taking empagliflozin is scheduled for knee replacement surgery in 5 days. When should you instruct her to stop her SGLT2 inhibitor?,No standardized recommendation; varied by institution,Instruct patient to stop empagliflozin 3-4 days before surgery (2-3 days from now)
2,2,A 58-year-old woman has persistent hypertension (BP 162/95 mmHg) despite optimal doses of three antihypertensive medications and lifestyle modifications. She asks about renal denervation therapy. What FDA-approved treatment options for renal denervation can you discuss with this patient?,Prior to late 2023: No FDA-approved renal denervation systems were available to offer this patient.,"You can discuss two FDA-approved options: the Paradise system using ultrasound ablation or the Symplicity system using radiofrequency ablation, both of which are approved as adjunctive treatments for patients with inadequately controlled blood pressure despite medications and lifestyle modifications."
3,3,A 45-year-old woman is diagnosed with H. pylori infection for the first time. You plan to prescribe bismuth-based quadruple therapy. For how many days should you prescribe the treatment regimen?,10 days of bismuth-based quadruple therapy,14 days of bismuth-based quadruple therapy
4,4,A 52-year-old man with confirmed H. pylori infection has no antibiotic allergies. You are considering a clarithromycin-based regimen. What testing must be completed before prescribing this regimen?,No prerequisite testing required; clarithromycin-based regimen could be prescribed directly,Antibiotic susceptibility testing must demonstrate clarithromycin sensitivity before prescribing a clarithromycin-based regimen
5,5,"A 68-year-old woman is admitted for elective knee surgery. Her blood pressure is 185/115 mm Hg, but she is asymptomatic with no evidence of target-organ damage. What is the recommended management approach for her blood pressure?",Variable approach; often treated with oral or IV antihypertensive medications to lower BP,"Avoid treating the elevated BP; identify and address any reversible causes (e.g., pain, stress)"
6,6,"A 72-year-old man admitted for pneumonia is ready for discharge. His home BP medications include lisinopril 20mg daily. During hospitalization, his BP has ranged from 150-170/85-95 mmHg. What is the recommended approach to his BP medications at discharge?",Consider increasing lisinopril dose or adding additional medication based on elevated inpatient readings,"Continue home dose of lisinopril 20mg daily without intensification, despite elevated inpatient readings"
7,7,"A 45-year-old woman's routine bloodwork shows a 25(OH)D level of 22 ng/mL. According to current Endocrine Society guidelines, how should this result be categorized in terms of vitamin D status?","This would have been categorized as ""insufficient"" (20-29 ng/mL)","The result should not be categorized using previous definitions of ""sufficient,"" ""insufficient,"" or ""deficient"" as the Endocrine Society no longer endorses specific threshold values for these categories"
8,8,A 40-year-old man with HIV who has sex with men presents for routine care. His CD4 count is 550 cells/µL and HIV viral load is undetectable. He has no anal symptoms. What screening tests should be performed according to current guidelines?,No formal screening recommendation; evaluate if symptomatic,"Annual digital anorectal examination plus anal cytology with or without high-risk HPV testing, with follow-up high-resolution anoscopy (HRA) if laboratory results indicate"
9,9,A 50-year-old woman with HIV presents for her first anal cancer screening. You plan to perform both laboratory testing and digital anorectal examination. Which should be performed first according to current guidelines?,No specified order,"Laboratory tests must be performed first, before digital anorectal examination"
10,10,"A 45-year-old woman has been on prednisone 20mg daily for 6 months for polymyalgia rheumatica. Her symptoms are well-controlled, and you are planning to begin tapering. Her morning cortisol is 8 ug/dL. According to current guidelines, what is the appropriate next step in evaluating her adrenal function?",Perform ACTH stimulation test to assess adrenal function before proceeding with taper,Continue tapering while monitoring for symptoms of adrenal insufficiency; repeat morning cortisol testing in several weeks to months
11,11,"A 14-year-old patient with HIV and severe immunosuppression presents for routine care. According to current guidelines, which COVID-19 preventive measures should be recommended? (List all that apply)",Not specified in previous guidelines,Both COVID-19 vaccination and monoclonal antibody prophylaxis are recommended due to age ≥12 years and presence of severe immunosuppression
12,12,A 28-year-old woman with epilepsy on levetiracetam is planning pregnancy in the next 6 months. What is the minimum daily folic acid supplementation you should recommend to optimize cognitive outcomes in potential offspring?,No specific dosage recommendation available (2009 guidelines),At least 0.4 mg of folic acid daily
13,13,A 23-year-old woman with newly diagnosed focal epilepsy desires to start a family within the next year. Which antiseizure medication(s) should be considered as first-line therapy to minimize risk of major congenital malformations?,Any ASM except valproic acid (2009 guidelines),"Lamotrigine, levetiracetam, or oxcarbazepine"
14,14,A 10-year-old patient with BMI >95th percentile has completed 20 contact hours in an intensive behavioral intervention program. The family asks if they have completed the recommended program duration. What is your response regarding program completion based on current guidelines?,No specific guidance available on program completion requirements,The program is not yet complete. An additional 6 or more contact hours are needed to meet the minimum requirement of 26 contact hours for demonstrated net benefit.
15,15,A 65-year-old man presents with stable claudication and confirmed PAD. He has no history of bleeding disorders and normal complete blood count. What is the most appropriate antithrombotic therapy for this patient?,Daily aspirin alone,Low-dose rivaroxaban plus daily aspirin
16,16,A 58-year-old woman with type 2 diabetes (A1C 7.8%) and symptomatic PAD presents for medication optimization. Which class(es) of diabetes medications should be specifically considered to reduce her cardiovascular risk?,Standard diabetes medications based on glycemic control needs,GLP-1 agonists and SGLT-2 inhibitors
17,17,"A 22-year-old collegiate basketball player has been diagnosed with paroxysmal atrial fibrillation that is well-controlled on medication. She strongly desires to return to competition. According to current guidelines, how should the return-to-play decision be made?",The physician would make an independent determination based on medical criteria alone.,"The decision should be made through a shared decision-making process, incorporating both medical assessment and the athlete's input, with discussion of risks, benefits, and the athlete's preferences."
18,18,"A healthy 41-year-old Black man with no family history of prostate cancer presents for his annual physical exam. He has never had PSA screening. According to current guidelines, what is the appropriate recommendation regarding PSA screening?",Variable recommendations based on general population guidelines; some would defer until age 50,Recommend baseline PSA screening as he falls within the recommended age range of 40-45 years for initial screening
19,19,A 39-year-old Black man whose father was diagnosed with prostate cancer at age 55 presents for preventive care. When should you recommend beginning PSA screening?,Variable recommendations based on general population guidelines,Recommend starting PSA screening next year at age 40 due to family history
20,20,A 71-year-old Black man in good health with a life expectancy >10 years asks about continuing his annual PSA screening. What is the appropriate recommendation according to current guidelines?,Variable recommendations based on general population guidelines,"Discuss benefits and risks of continued screening, considering his good health status and life expectancy"
21,21,"A 45-year-old woman with stable hypertrophic cardiomyopathy asks about starting a regular exercise program. Based on current guidelines, what is the appropriate recommendation regarding exercise?",Exercise may be allowed but should be discussed on a case-by-case basis,"Exercise should be recommended to maintain fitness and reduce risk of metabolic syndrome, with appropriate monitoring and individualization of the exercise program"
22,22,A 52-year-old man with obstructive symptomatic HCM remains symptomatic despite beta-blocker therapy. What pharmacologic agent class is now recommended as a treatment option according to current guidelines?,"Traditional options such as beta-blockers, calcium channel blockers, or disopyramide","Cardiac myosin inhibitor (mavacamten) can be considered, noting the need for extensive echocardiographic monitoring"
