,id,update_reference_snippet,updated_fact_description,prompt,answer_before,answer
0,0,"For patients at elevated risk for perioperative cardiac events based on a validated risk calculator, assessment of functional status using a structured tool like the Duke Activity Status Index (DASI) ""is reasonable."" DASI might predict adverse outcomes better than subjective assessment of functional capacity.","Previously: Functional capacity was assessed subjectively by the clinician. Now: The Duke Activity Status Index (DASI) is recommended as a structured tool for assessing functional capacity, with a specific cutoff of >34 (≥4 METs) indicating good functional capacity.",What is the current recommended DASI score cutoff indicating good functional capacity for proceeding with surgery without further testing?,No specific DASI score cutoff; relied on subjective assessment,DASI score >34 (equivalent to ≥4 METs)
1,1,"Sodium–glucose cotransporter-2 inhibitors should be discontinued 3 to 4 days before surgery to minimize risk for ketoacidosis, whereas most other goal-directed medical therapy can be continued.",Previously: No specific guidance on SGLT2 inhibitor discontinuation timing. Now: SGLT2 inhibitors should be discontinued 3-4 days before surgery.,How many days before surgery should SGLT2 inhibitors be discontinued according to current guidelines?,No specific recommendation,3-4 days before surgery
2,2,"in late 2023, the U.S. FDA finally approved two RDN systems as ""adjunctive treatment in hypertension patients in whom lifestyle modifications and antihypertensive medications do not adequately control blood pressure.""","Previously: Renal denervation systems were not FDA-approved for hypertension treatment. Now: As of late 2023, two RDN systems (Paradise and Symplicity) are FDA-approved as adjunctive treatment for inadequately controlled hypertension.",Which renal denervation systems are currently FDA-approved for treatment of inadequately controlled hypertension?,No renal denervation systems were FDA-approved for hypertension treatment,The Paradise (ultrasound) and Symplicity (radiofrequency) systems are FDA-approved
3,3,"For a patient with a first infection, the preferred regimen is a 14-day course... A 10-day course is no longer considered to be adequate","Previously: 10-day course was considered adequate for H. pylori treatment. Now: 14-day course is required, with 10-day course specifically noted as inadequate.",What is the current recommended duration in days for first-line H. pylori treatment regimens?,10 days,14 days
4,4,clarithromycin and levofloxacin should not be used for either primary or salvage treatment without demonstrated susceptibility,Previously: Clarithromycin and levofloxacin could be used without prior susceptibility testing. Now: These antibiotics should only be used after demonstrated susceptibility.,What prerequisite testing is required before prescribing clarithromycin or levofloxacin for H. pylori treatment?,No prerequisite testing required,Antibiotic susceptibility testing demonstrating sensitivity to the specific antibiotic
5,5,"Avoid treatment of asymptomatic elevated inpatient BP (including asymptomatic markedly elevated BP, i.e., SBP/DBP ≥180/110 mm Hg) in most situations.","Previously: No formal guidance existed for managing asymptomatic elevated BP in hospitalized patients. Now: Guidelines specifically recommend against treating asymptomatic elevated BP, even when markedly elevated (≥180/110 mm Hg), in most hospital situations.",What is the current recommended approach for managing asymptomatic elevated blood pressure (≥180/110 mm Hg) in hospitalized patients without evidence of target-organ damage?,No standardized approach; treatment decisions were provider-dependent,"Avoid treatment in most situations, even with markedly elevated BP"
6,6,"Discharge from hospital admission: Maintain prehospitalization BP regimen and avoid intensification of BP medications at discharge, based on recent best evidence",Previously: No standardized guidance on discharge BP medication adjustment. Now: Guidelines recommend maintaining prehospitalization BP regimen and specifically avoiding intensification of BP medications at discharge.,What is the current recommendation regarding blood pressure medication adjustment at hospital discharge?,No standardized approach; medications often adjusted based on inpatient BP readings,Maintain prehospitalization BP regimen without intensification at discharge
7,7,"Previously, the Endocrine Society had labeled vitamin D status as ""deficient"" when serum hydroxyvitamin D (25[OH]D) was lower than 20 ng/mL, and ""insufficient"" when serum 25(OH)D was 20 ng/mL to 29 ng/mL. Now, the Society ""no longer endorses specific 25(OH)D levels to define vitamin D sufficiency, insufficiency, and deficiency.""","Previously, vitamin D status was categorized as ""deficient"" (<20 ng/mL) or ""insufficient"" (20-29 ng/mL) based on specific serum 25(OH)D levels. Now, the Endocrine Society no longer endorses specific 25(OH)D levels to define vitamin D status categories.","According to current Endocrine Society guidelines, what serum 25(OH)D level (in ng/mL) defines vitamin D deficiency?",Less than 20 ng/mL was defined as deficient,The Endocrine Society no longer endorses specific 25(OH)D levels to define vitamin D deficiency
8,8,"For the first time, these updated guidelines for prevention and treatment of opportunistic infections recommend staged annual screening for anal cancer.",Previously: No formal recommendation for anal cancer screening in PLHIV. Now: Recommended staged annual screening for anal cancer with specific protocols based on age and risk factors.,What is the current recommended frequency of anal cancer screening for adults living with HIV?,No formal recommendation,Annual screening
9,9,Laboratory tests should be obtained prior to digital anorectal examination.,Previously: No specified order for anal cancer screening tests. Now: Laboratory tests must be obtained before digital anorectal examination.,In what sequence should anal cancer screening tests be performed in PLHIV?,No specified sequence,"Laboratory tests first, followed by digital anorectal examination"
10,10,"Routine dynamic testing (e.g., adrenocorticotropic hormone stimulation) is discouraged; the authors recommend it only in selected instances of ongoing uncertainty about adrenal status.",Previously: Dynamic testing (ACTH stimulation) was routinely used to assess adrenal function during steroid tapering. Now: Dynamic testing is discouraged except in selected cases of ongoing uncertainty about adrenal status.,In which clinical scenario is dynamic testing (ACTH stimulation) currently recommended for patients being tapered from chronic glucocorticoid therapy?,Routine testing was recommended for all patients being tapered from chronic glucocorticoid therapy,Dynamic testing is only recommended in cases where there is ongoing uncertainty about adrenal status despite clinical assessment and morning cortisol testing
11,11,Guidelines for the Prevention and Treatment of Opportunistic Infections in Children With and Exposed to HIV now includes COVID-19 in the context of preexposure prophylaxis (vaccine for all those aged ≥6 months; monoclonal antibody for those aged ≥12 years with severe immunosuppression) and treatment with antiviral agents.,Previously: COVID-19 was not included in the opportunistic infection guidelines for children with HIV. Now: COVID-19 is included with specific recommendations for vaccination (≥6 months) and monoclonal antibody prophylaxis (≥12 years with severe immunosuppression).,What is the current minimum age requirement for COVID-19 vaccination in children with HIV according to the updated opportunistic infection guidelines?,Not specified in previous guidelines,≥6 months of age
