step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
1,7.20229,0.33333,,,,
2,5.32964,0.33333,,,,
3,7.17531,0.5,,,,
4,3.35477,0.47368,,,,
5,6.08353,0.61538,,,,
6,5.99014,0.23077,,,,
7,5.10399,0.76923,,,,
8,7.97558,0.2,,,,
9,5.13617,0.375,,,,
10,5.95747,0.72727,,,,
11,3.80154,0.58333,,,,
12,2.15052,0.57534,,,,
13,6.39029,0.5,,,,
14,2.99051,0.42857,,,,
15,2.66084,0.70833,,,,
16,2.02168,0.61538,,,,
17,1.06398,0.78571,,,,
18,2.28824,0.61905,,,,
19,1.4087,0.66667,,,,
20,3.29437,0.5,,,,
21,0.82253,0.73333,,,,
22,2.41067,0.53333,,,,
23,3.10368,0.44444,,,,
24,3.35008,0.27273,,,,
25,1.55999,0.5,,,,
26,1.20659,0.7,,,,
27,1.74115,0.68421,,,,
28,2.2918,0.8,,,,
29,1.78136,0.6,,,,
30,2.26673,0.46154,,,,
31,1.76352,0.58824,,,,
32,1.13539,0.66667,,,,
33,2.38377,0.57143,,,,
34,2.20609,0.53846,,,,
35,1.31947,0.63636,,,,
36,0.67553,0.75,,,,
37,1.27316,0.66667,,,,
38,0.92834,0.72727,,,,
39,3.17342,0.5,,,,
40,1.8549,0.63636,,,,
41,1.9469,0.41667,,,,
42,1.2512,0.7,,,,
43,1.26453,0.4,,,,
44,0.62674,0.71429,,,,
45,3.37333,0.57143,,,,
46,0.33262,0.85714,,,,
47,0.9354,0.71429,,,,
48,1.56569,0.74194,,,,
49,1.07849,0.53846,,,,
50,1.80805,0.46667,,,,
51,1.24826,0.71429,,,,
52,1.31149,0.57143,,,,
53,1.01356,0.75,,,,
54,0.07528,1.0,,,,
55,1.22173,0.81818,,,,
56,1.68404,0.6,,,,
57,1.09318,0.8,,,,
58,0.26178,0.9375,,,,
59,0.46597,0.75,,,,
60,0.8646,0.625,,,,
61,1.10627,0.78947,,,,
62,1.99559,0.6,,,,
63,0.8874,0.8,,,,
64,2.11663,0.44444,,,,
65,1.20308,0.63636,,,,
66,1.47366,0.66667,,,,
67,0.7484,0.71429,,,,
68,0.56258,0.83333,,,,
69,0.84566,0.7619,,,,
70,1.01857,0.64706,,,,
71,1.3645,0.75,,,,
72,0.58061,0.84211,,,,
73,1.00094,0.63158,,,,
74,1.26706,0.5625,,,,
75,1.16132,0.6,,,,
76,1.53893,0.5,,,,
77,1.65585,0.5,,,,
78,1.24782,0.5,,,,
79,1.37483,0.66667,,,,
80,0.6415,0.66667,,,,
81,1.75528,0.5,,,,
82,1.98838,0.46154,,,,
83,1.82686,0.75,,,,
84,1.263,0.66667,,,,
85,1.07394,0.44444,,,,
86,1.2339,0.7,,,,
87,1.2517,0.83333,,,,
88,0.74822,0.77778,,,,
89,0.23283,1.0,,,,
90,0.71827,0.84615,,,,
91,0.72469,0.75,,,,
92,0.63192,0.75,,,,
93,0.14714,1.0,,,,
94,1.02386,0.84615,,,,
95,0.46743,0.83333,,,,
96,1.39432,0.7619,,,,
97,0.9252,0.75,,,,
98,1.47239,0.66667,,,,
99,0.42326,0.8,,,,
100,1.30516,0.71429,,,,
101,1.22309,0.875,,,,
102,0.26412,0.8,,,,
103,1.12873,0.6875,,,,
104,1.77263,0.66667,,,,
105,2.1816,0.6,,,,
106,2.56479,0.47619,,,,
107,0.56874,0.75,,,,
108,1.36114,0.66667,,,,
109,2.15474,0.64706,,,,
110,0.66286,0.75,,,,
111,0.92191,0.72727,,,,
112,0.64992,0.8,,,,
113,0.92219,0.75,,,,
114,1.92086,0.55556,,,,
115,1.36762,0.75,,,,
116,1.47182,0.55556,,,,
117,1.94085,0.4,,,,
118,1.31598,0.63636,,,,
119,1.76682,0.54545,,,,
120,0.64803,0.73684,,,,
121,0.35539,0.88889,,,,
122,0.70712,0.75,,,,
123,2.18952,0.5,,,,
124,1.48169,0.70588,,,,
125,0.25481,0.83333,,,,
126,1.0955,0.70588,,,,
127,1.02127,0.8,,,,
128,1.46114,0.71429,,,,
129,0.68238,0.69231,,,,
130,1.50614,0.5625,,,,
131,0.76775,0.72727,,,,
132,1.42505,0.63014,,,,
133,0.02366,1.0,,,,
134,0.60205,0.75,,,,
135,0.34036,1.0,,,,
136,0.53987,0.84211,,,,
137,0.00495,1.0,,,,
138,0.20434,0.90476,,,,
139,0.10424,1.0,,,,
140,0.68944,0.83333,,,,
141,0.41955,0.84615,,,,
142,1.02833,0.68421,,,,
143,1.52072,0.52381,,,,
144,0.41872,0.95238,,,,
145,0.20912,1.0,,,,
146,0.55102,0.90476,,,,
147,0.08876,1.0,,,,
148,0.19933,0.89474,,,,
149,0.37031,0.9,,,,
150,0.84772,0.81818,,,,
151,0.18721,1.0,,,,
152,0.32753,0.93333,,,,
153,0.07823,1.0,,,,
154,1.5357,0.76923,,,,
155,0.0034,1.0,,,,
156,0.42548,0.8,,,,
157,2.27859,0.57143,,,,
158,0.58025,0.85714,,,,
159,0.4035,0.81818,,,,
160,0.72062,0.81818,,,,
161,1.19002,0.81818,,,,
162,0.51194,0.8,,,,
163,0.01508,1.0,,,,
164,0.01172,1.0,,,,
